locus_tag	ftype	length_bp	gene	EC_number	COG	product
FBJMCHFD_00001	CDS	540	yhcN_1			putative spore germination lipoprotein YhcN
FBJMCHFD_00002	CDS	903				hypothetical protein
FBJMCHFD_00003	CDS	666				hypothetical protein
FBJMCHFD_00004	CDS	2055	yhcR_1	3.1.31.-	COG0737	Endonuclease YhcR
FBJMCHFD_00005	CDS	597	srtD_1	3.4.22.-	COG3764	Sortase D
FBJMCHFD_00006	CDS	909	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
FBJMCHFD_00007	CDS	396				hypothetical protein
FBJMCHFD_00008	CDS	423	hrp1_1		COG0517	Hypoxic response protein 1
FBJMCHFD_00009	CDS	690	hxpB	3.1.3.68	COG0637	Hexitol phosphatase B
FBJMCHFD_00010	CDS	1539	amiF_1	3.5.1.49		Formamidase
FBJMCHFD_00011	CDS	1344	tpa_1	2.6.1.77	COG0161	Taurine--pyruvate aminotransferase
FBJMCHFD_00012	CDS	576	glpP_1		COG1954	Glycerol uptake operon antiterminator regulatory protein
FBJMCHFD_00013	CDS	828	glpF_1		COG0580	Glycerol uptake facilitator protein
FBJMCHFD_00014	CDS	1491	glpK_1	2.7.1.30	COG0554	Glycerol kinase
FBJMCHFD_00015	CDS	1665	glpD_1	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
FBJMCHFD_00016	CDS	1743	pgcA_1	5.4.2.2		Phosphoglucomutase
FBJMCHFD_00017	CDS	1137				hypothetical protein
FBJMCHFD_00018	CDS	648	liaR_1		COG2197	Transcriptional regulatory protein LiaR
FBJMCHFD_00019	CDS	525	azr_1	1.7.-.-	COG0431	FMN-dependent NADPH-azoreductase
FBJMCHFD_00020	CDS	243				hypothetical protein
FBJMCHFD_00021	CDS	324				hypothetical protein
FBJMCHFD_00022	CDS	1455	lytF_1	3.4.-.-	COG0791	Peptidoglycan endopeptidase LytF
FBJMCHFD_00023	CDS	435	nsrR_1		COG1959	HTH-type transcriptional repressor NsrR
FBJMCHFD_00024	CDS	1515				hypothetical protein
FBJMCHFD_00025	CDS	1407				hypothetical protein
FBJMCHFD_00026	CDS	1380	phoA_1	3.1.3.1	COG1785	Alkaline phosphatase 4
FBJMCHFD_00027	CDS	825	lytE_1	3.4.-.-		putative peptidoglycan endopeptidase LytE
FBJMCHFD_00028	CDS	876	cysL_1		COG0583	HTH-type transcriptional regulator CysL
FBJMCHFD_00029	CDS	1110	citA_1	2.3.3.16	COG0372	Citrate synthase 1
FBJMCHFD_00030	CDS	870	ydaD_1	1.-.-.-		General stress protein 39
FBJMCHFD_00031	CDS	1404	yhdG_1		COG0531	putative amino acid permease YhdG
FBJMCHFD_00032	CDS	1308				hypothetical protein
FBJMCHFD_00033	CDS	291	yhdK_1			putative anti-sigma-M factor YhdK
FBJMCHFD_00034	CDS	1074	yhdL_1			putative anti-sigma-M factor YhdL
FBJMCHFD_00035	CDS	492	sigM_1		COG1595	ECF RNA polymerase sigma factor SigM
FBJMCHFD_00036	CDS	600	plsC_1	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
FBJMCHFD_00037	CDS	1335				hypothetical protein
FBJMCHFD_00038	CDS	426				hypothetical protein
FBJMCHFD_00039	CDS	1185	aspC_1	2.6.1.1	COG0436	Aspartate aminotransferase
FBJMCHFD_00040	CDS	1245	pksF	4.1.1.87	COG0304	Polyketide biosynthesis malonyl-ACP decarboxylase PksF
FBJMCHFD_00041	CDS	1389				hypothetical protein
FBJMCHFD_00042	CDS	360	crcB_1		COG0239	Putative fluoride ion transporter CrcB
FBJMCHFD_00043	CDS	396	crcB_2		COG0239	Putative fluoride ion transporter CrcB
FBJMCHFD_00044	CDS	717	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
FBJMCHFD_00045	CDS	105				hypothetical protein
FBJMCHFD_00046	CDS	1116				hypothetical protein
