locus_tag	ftype	length_bp	gene	EC_number	COG	product
GMPPAGHP_00001	tRNA	76				tRNA-Ala(tgc)
GMPPAGHP_00002	rRNA	79				5S ribosomal RNA (partial)
GMPPAGHP_00003	tRNA	74				tRNA-Ala(tgc)
GMPPAGHP_00004	tRNA	77				tRNA-Ile(gat)
GMPPAGHP_00005	tRNA	77				tRNA-Ile(gat)
GMPPAGHP_00006	tRNA	77				tRNA-Arg(acg)
GMPPAGHP_00007	tRNA	74				tRNA-Ala(tgc)
GMPPAGHP_00008	tRNA	77				tRNA-Ile(gat)
GMPPAGHP_00009	tRNA	76				tRNA-Glu(ttc)
GMPPAGHP_00010	rRNA	456				16S ribosomal RNA (partial)
GMPPAGHP_00011	CDS	264				hypothetical protein
GMPPAGHP_00012	CDS	168				hypothetical protein
GMPPAGHP_00013	CDS	255				hypothetical protein
GMPPAGHP_00014	CDS	231				hypothetical protein
GMPPAGHP_00015	CDS	654				hypothetical protein
GMPPAGHP_00016	CDS	855				hypothetical protein
GMPPAGHP_00017	CDS	354				hypothetical protein
GMPPAGHP_00018	CDS	876	yebZ		COG1276	Inner membrane protein YebZ
GMPPAGHP_00019	CDS	375	yobA		COG2372	Protein YobA
GMPPAGHP_00020	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
GMPPAGHP_00021	CDS	657				hypothetical protein
GMPPAGHP_00022	CDS	699	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
GMPPAGHP_00023	CDS	2052	ptrB	3.4.21.83	COG1770	Protease 2
GMPPAGHP_00024	CDS	660	yebE		COG2979	Inner membrane protein YebE
GMPPAGHP_00025	CDS	354	yebF			Protein YebF
GMPPAGHP_00026	CDS	291				hypothetical protein
GMPPAGHP_00027	CDS	1179	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
GMPPAGHP_00028	CDS	642	eda		COG0800	KHG/KDPG aldolase
GMPPAGHP_00029	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
GMPPAGHP_00030	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
GMPPAGHP_00031	CDS	870	hexR_1		COG1737	HTH-type transcriptional regulator HexR
GMPPAGHP_00032	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
GMPPAGHP_00033	CDS	972	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
GMPPAGHP_00034	CDS	1320	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
GMPPAGHP_00035	CDS	1002	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
GMPPAGHP_00036	CDS	756	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
GMPPAGHP_00037	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
GMPPAGHP_00038	CDS	1011	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
GMPPAGHP_00039	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
GMPPAGHP_00040	CDS	246				hypothetical protein
GMPPAGHP_00041	CDS	651				hypothetical protein
GMPPAGHP_00042	CDS	600				hypothetical protein
GMPPAGHP_00043	CDS	522	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
GMPPAGHP_00044	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
GMPPAGHP_00045	CDS	453	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
GMPPAGHP_00046	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
GMPPAGHP_00047	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
GMPPAGHP_00048	CDS	819				hypothetical protein
GMPPAGHP_00049	CDS	396	yecN		COG3788	Inner membrane protein YecN
GMPPAGHP_00050	CDS	744	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
GMPPAGHP_00051	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
GMPPAGHP_00052	CDS	747	cutC_1		COG3142	Copper homeostasis protein CutC
GMPPAGHP_00053	CDS	570	yecM		COG3102	Protein YecM
GMPPAGHP_00054	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
GMPPAGHP_00055	CDS	1872	mrdA_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
GMPPAGHP_00056	CDS	1140	yesR	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
GMPPAGHP_00057	CDS	393	flhE			Flagellar protein FlhE
GMPPAGHP_00058	CDS	2079	flhA		COG1298	Flagellar biosynthesis protein FlhA
GMPPAGHP_00059	CDS	1152	flhB		COG1377	Flagellar biosynthetic protein FlhB
GMPPAGHP_00060	CDS	648	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
GMPPAGHP_00061	CDS	390	cheY		COG0784	Chemotaxis protein CheY
GMPPAGHP_00062	CDS	1050	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
GMPPAGHP_00063	CDS	867	cheR	2.1.1.80		Chemotaxis protein methyltransferase
GMPPAGHP_00064	CDS	1662	tar		COG0840	Methyl-accepting chemotaxis protein II
GMPPAGHP_00065	CDS	504	cheW		COG0835	Chemotaxis protein CheW
GMPPAGHP_00066	CDS	2016	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
GMPPAGHP_00067	CDS	930	motB		COG1360	Motility protein B
GMPPAGHP_00068	CDS	888	motA		COG1291	Motility protein A
GMPPAGHP_00069	CDS	579	flhC			Flagellar transcriptional regulator FlhC
GMPPAGHP_00070	CDS	342	flhD			Flagellar transcriptional regulator FlhD
GMPPAGHP_00071	CDS	429	uspC		COG0589	Universal stress protein C
GMPPAGHP_00072	CDS	1422	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
GMPPAGHP_00073	CDS	903	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
GMPPAGHP_00074	CDS	537	yajL_1	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
GMPPAGHP_00075	CDS	504	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
GMPPAGHP_00076	CDS	639				hypothetical protein
GMPPAGHP_00077	CDS	336				hypothetical protein
GMPPAGHP_00078	CDS	498	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
GMPPAGHP_00079	CDS	240				hypothetical protein
GMPPAGHP_00080	CDS	1269	tyrP		COG0814	Tyrosine-specific transport protein
GMPPAGHP_00081	CDS	666				hypothetical protein
GMPPAGHP_00082	CDS	192				hypothetical protein
GMPPAGHP_00083	CDS	1434				hypothetical protein
GMPPAGHP_00084	tRNA	87				tRNA-Leu(taa)
GMPPAGHP_00085	tRNA	74				tRNA-Cys(gca)
GMPPAGHP_00086	tRNA	76				tRNA-Gly(gcc)
GMPPAGHP_00087	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
GMPPAGHP_00088	CDS	1833	uvrC		COG0322	UvrABC system protein C
GMPPAGHP_00089	CDS	657	uvrY		COG2197	Response regulator UvrY
GMPPAGHP_00090	CDS	225				hypothetical protein
GMPPAGHP_00091	CDS	723	sdiA		COG2771	Regulatory protein SdiA
GMPPAGHP_00092	CDS	753	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
GMPPAGHP_00093	CDS	669	yecS_1		COG0765	L-cystine transport system permease protein YecS
GMPPAGHP_00094	CDS	987	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
GMPPAGHP_00095	CDS	801	fliY_1		COG0834	L-cystine-binding protein FliY
GMPPAGHP_00096	CDS	552	fliZ			Regulator of sigma S factor FliZ
GMPPAGHP_00097	CDS	720	fliA		COG1191	RNA polymerase sigma factor FliA
GMPPAGHP_00098	tRNA	77				tRNA-Arg(acg)
GMPPAGHP_00099	CDS	105				hypothetical protein
GMPPAGHP_00100	rRNA	809				23S ribosomal RNA (partial)
GMPPAGHP_00101	CDS	159				hypothetical protein
GMPPAGHP_00102	CDS	405				hypothetical protein
GMPPAGHP_00103	CDS	237				hypothetical protein
GMPPAGHP_00104	CDS	321				hypothetical protein
GMPPAGHP_00105	CDS	978				hypothetical protein
GMPPAGHP_00106	CDS	750	dnaC_1		COG1484	DNA replication protein DnaC
GMPPAGHP_00107	CDS	348				hypothetical protein
GMPPAGHP_00108	CDS	1086	fliC		COG1344	Flagellin
GMPPAGHP_00109	CDS	1206				hypothetical protein
GMPPAGHP_00110	CDS	159				hypothetical protein
GMPPAGHP_00111	CDS	411				hypothetical protein
GMPPAGHP_00112	CDS	240				hypothetical protein
GMPPAGHP_00113	CDS	321				hypothetical protein
GMPPAGHP_00114	CDS	978				hypothetical protein
GMPPAGHP_00115	CDS	750	dnaC_2		COG1484	DNA replication protein DnaC
GMPPAGHP_00116	CDS	348				hypothetical protein
GMPPAGHP_00117	CDS	546	hemG	1.3.5.3	COG4635	Protoporphyrinogen IX dehydrogenase [menaquinone]
GMPPAGHP_00118	CDS	1452	trkH		COG0168	Trk system potassium uptake protein TrkH
GMPPAGHP_00119	CDS	615	yigZ		COG1739	IMPACT family member YigZ
GMPPAGHP_00120	CDS	1332	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
GMPPAGHP_00121	CDS	2190	fadB		COG1024	Fatty acid oxidation complex subunit alpha
GMPPAGHP_00122	CDS	1164	fadA	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
GMPPAGHP_00123	CDS	1836	assT_1	2.8.2.22		Arylsulfate sulfotransferase AssT
GMPPAGHP_00124	CDS	702	fre	1.5.1.41	COG0543	NAD(P)H-flavin reductase
GMPPAGHP_00125	CDS	1479	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
GMPPAGHP_00126	CDS	489	rfaH		COG0250	Transcription antitermination protein RfaH
GMPPAGHP_00127	CDS	795	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
GMPPAGHP_00128	CDS	780	tatC		COG0805	Sec-independent protein translocase protein TatC
GMPPAGHP_00129	CDS	549	tatB		COG1826	Sec-independent protein translocase protein TatB
GMPPAGHP_00130	CDS	255	tatA		COG1826	Sec-independent protein translocase protein TatA
GMPPAGHP_00131	CDS	1641	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
GMPPAGHP_00132	CDS	606	ubiJ_1		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
GMPPAGHP_00133	CDS	756	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
GMPPAGHP_00134	CDS	1431				hypothetical protein
GMPPAGHP_00135	CDS	762	udp	2.4.2.3	COG2820	Uridine phosphorylase
GMPPAGHP_00136	CDS	813				hypothetical protein
GMPPAGHP_00137	CDS	1296	chuR_1	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
GMPPAGHP_00138	CDS	2265	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
GMPPAGHP_00139	CDS	954	metR			HTH-type transcriptional regulator MetR
GMPPAGHP_00140	CDS	900	bioP		COG0697	Biotin transporter
GMPPAGHP_00141	CDS	801	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
GMPPAGHP_00142	CDS	1017	pldB	3.1.1.5	COG2267	Lysophospholipase L2
GMPPAGHP_00143	CDS	621	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
GMPPAGHP_00144	CDS	621	rhtC_1		COG1280	Threonine efflux protein
GMPPAGHP_00145	CDS	1848	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
GMPPAGHP_00146	CDS	870	pldA	3.1.1.32	COG2829	Phospholipase A1
GMPPAGHP_00147	CDS	468				hypothetical protein
GMPPAGHP_00148	CDS	885	rarD_1		COG2962	Protein RarD
GMPPAGHP_00149	CDS	459	yigG			Inner membrane protein YigG
GMPPAGHP_00150	CDS	381				hypothetical protein
GMPPAGHP_00151	CDS	951	corA		COG0598	Magnesium transport protein CorA
